标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
满五年，品质绿城物业，地铁口公园旁，精装修拎包入住,大华锦绣华城(十八街区)(公寓)   ,2室2厅,82.68平米,南,18,2009, 北蔡 ,708,85632
精装60万+靠河高区+视野采光无任何遮挡必看好房,保利林语溪(公寓)   ,2室2厅,89.63平米,南,18,2011, 三林 ,558,62256
主推中间楼层，2001商品房，南北通透，两房，拎包入住必看好房,新世纪花苑(三期)(浦东)   ,2室2厅,89.75平米,南 北,6,2001, 世博 ,650,72424
满五年楼层好，产权清晰，户型正气，安静位置必看好房,始信北苑   ,2室1厅,71.53平米,南,6,2003, 金杨 ,558,78010
电梯三房 方正户型 视野俱佳 出行便利 自住装修必看好房,东城新村   ,3室1厅,89.63平米,南,18,1999, 杨东 ,598,66719
金色中环万科物业  次新 顶楼  11和18双轨  建平必看好房,万科海上传奇   ,2室2厅,86.99平米,南,25,2013, 御桥 ,799,91850
前滩旁，6/8/19地铁三轨，次新电梯得房率高 婚房装修必看好房,海尚新纪园   ,2室2厅,86.77平米,南,11,2014, 三林 ,675,77792
户型好小三房，全明户型得房率高，看房随时必看好房,桃林一小区   ,3室1厅,80.15平米,南,7,1995, 源深 ,699,87212
内环内，紧靠陆家嘴，中间楼层，电梯双南两房必看好房,南泉大楼   ,2室1厅,80.87平米,南,24,1997, 潍坊 ,565,69866
近地铁  南北通透 格局好  满五好房  近花园必看好房,明天华城   ,2室2厅,88.88平米,南 北,14,2011, 周浦 ,568,63907
次新人车分流+视野很棒+开发商精装修+全屋中 央空调必看好房,仁和都市花园   ,2室2厅,85.28平米,南,18,2016, 御桥 ,790,92637
德平路地铁口 商品房 独门独户附带70几平露台 使用权必看好房,上泰花苑   ,2室2厅,82.07平米,南,6,1998, 金杨 ,518,63117
中海御景熙岸(公寓) 3室1厅 南必看好房,中海御景熙岸(公寓)   ,3室1厅,88.32平米,南,18,2011, 三林 ,525,59443
总监推荐！聚焦好房！两房附+11平地下储物间 税费少必看好房,明丰花园   ,2室2厅,84.72平米,南,6,2002, 三林 ,529,62441
中楼层+7号线350米+得房率高+价格实惠+诚意出售随时看必看好房,上南花苑一期   ,2室1厅,78.6平米,南,6,1996, 世博 ,528,67176
无抵押无户口产权清晰业主心态稳定看房随时户型方正必看好房,御桥馨华苑   ,2室1厅,74.01平米,南,6,2004, 御桥 ,530,71612
6号线地铁口电梯高楼层南北通两房两厅！1梯2户,博学家园   ,2室1厅,78.68平米,南 北,11,2010, 杨思前滩 ,569,72319
精装修三房 中间楼层 诚意出售 采光充足 交通方便,崮山小区四街坊   ,3室1厅,80.57平米,南,6,1997, 洋泾 ,595,73849
小区非顶天立地总价醉低.私聊咨询底价有惊喜。,樱花坊   ,2室1厅,77.49平米,南,6,1995, 花木 ,595,76785
内环内满五年 南北通全明户型 配套好近地铁必看好房,梅花新村(花木)   ,2室2厅,72.7平米,南 北,6,1994, 花木 ,525,72215
三林前滩，双轨交汇，配套成熟，高区景观，随时看房必看好房,金地湾流域（一期518弄别墅/大洋房）   ,2室2厅,87.59平米,南,14,2008, 三林 ,790,90193
