标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
三环内 三公园围绕 婚房精装 地暖 拎包入住 诚心卖必看好房,金水世纪城   ,3室2厅,86.93平米,南,34,未知, 五龙口 ,110,12654
精装修3房，业主一手房，满五年税费少，南北通透必看好房,保利百合   ,3室2厅,87.89平米,南 北,34,未知, 热电厂 ,105,11947
天誉华庭 精装边户3房 南北通透拎包入住满五税少,领创天誉华庭   ,3室2厅,88.73平米,南 北,34,未知, 五龙口 ,118,13389
2023年次新小区 好楼层   无抵押  密码钥匙必看好房,建业盛悦府   ,3室2厅,88.9平米,南 北,34,未知, 五龙口 ,119,13386
伊河路南区和19 两梯四户 16年建成 满五唯一,中原新城观澜一号   ,3室1厅,86.5平米,南,32,未知, 电力新村 ,106,12255
满五年，园林小区 南北通透户型 中间楼层。,锦艺国际华都美域   ,3室2厅,89.38平米,南 北,33,未知, 热电厂 ,108,12084
万达旁 2020年 二次精装 改善婚房 楼下二砂产业园,阳光城丽景公馆南苑   ,3室2厅,89平米,南 北,34,未知, 中原万达 ,109,12248
2024次新小区三环内建设路地铁口品质楼盘必看好房,五建新街坊5号院   ,3室2厅,87.38平米,南,34,未知, 热电厂 ,111,12704
品质园林小区，20万精装修 拎包住 中间楼层，随时看房必看好房,领创天誉华庭   ,3室1厅,88.73平米,南,33,未知, 五龙口 ,118,13299
南北通透格局好 楼层好 视野好 采光充足 配套设施齐全必看好房,锦艺国际华都欧尚   ,3室1厅,88.65平米,南 北,33,未知, 热电厂 ,105,11845
三环内近地铁口次新小区人车分流必看好房,溢彩年华   ,3室2厅,88.61平米,南,27,未知, 中原万达 ,110,12414
房子精装修 人车分流 2020年次新房 地铁1号线地铁口必看好房,阳光城丽景公馆南苑   ,3室2厅,86.67平米,南,17,未知, 中原万达 ,114,13154
精装  小三房  房子蛮漂亮的  业主诚心卖必看好房,民安西上一号院   ,3室1厅,89.8平米,南 北,30,未知, 帝湖 ,118,13141
2022年次新房精装交付 好楼层 满两年 仅有契税,和润林湖美景   ,3室2厅,87.44平米,南 北,31,未知, 热电厂 ,119,13610
有车位 装修很好 人车分流 品质小区必看好房,民安西上一号院   ,3室2厅,87.94平米,南,33,未知, 帝湖 ,119,13532
锦艺一期，南北通透，满五采光好，业主诚心出售,锦艺国际华都欧尚   ,3室1厅,89.68平米,南 北,33,未知, 热电厂 ,105,11709
楼层好 小区中间 标准三室 看房有钥匙必看好房,盛润锦绣城东院   ,3室2厅,88.71平米,南,33,未知, 王府井 ,119,13415
央企保利开发 人车分流 小三房 地铁口锦艺城商圈必看好房,保利百合   ,3室2厅,88.14平米,南 北,34,未知, 热电厂 ,106,12027
经典户型设计，合理空间划分，内外兼修的品格建筑,聚龙花园   ,2室1厅,87.63平米,南,18,未知, 儿童公园 ,100,11412
桐柏路陇海路 中原新城2房 儿童公园 地铁口 采光充足,中原新城王府东院   ,2室2厅,84.34平米,南 北,34,未知, 郑州一中 ,110,13043
盛润锦绣城西院 2室1厅 南,盛润锦绣城西院   ,2室1厅,75.89平米,南,32,未知, 王府井 ,100,13177
房子满五 全天采光 锦艺商圈 配套齐全 业主诚心出售,锦艺国际华都濠庭   ,2室1厅,85.79平米,南,29,未知, 热电厂 ,108,12589
房子高层，无遮挡，采光好，视野佳，配套齐全！,全威锦园   ,2室2厅,86.42平米,南,18,未知, 月季公园 ,102,11803
小区门口，出入方便，南北户型，精装修,盛润锦绣城西院   ,2室1厅,76.96平米,东北 东,32,未知, 王府井 ,120,15593
天誉龙邸，精装两房，纯南户型，配套齐全！房主自荐,天誉龙邸南区   ,2室2厅,85.34平米,南,32,未知, 五龙口 ,100,11718
园林社区，产权清晰 ，楼层适中视野开阔,昆仑华府   ,2室2厅,89.23平米,南,18,未知, 中原万达 ,120,13449
96年可商贷款 唯一住房 不过马路方便,林山寨村   ,2室1厅,77平米,南 北,7,未知, 郑州晚报社 ,115,14936
伊河路，19，非顶楼，可贷款，看房方便,林山寨村   ,2室1厅,70.35平米,东,7,未知, 郑州晚报社 ,105,14926
地铁5号线，中间楼层，双气，精装，诚意出售,公园壹号   ,2室2厅,86.16平米,南,33,未知, 儿童公园 ,120,13928
18年新小区 地铁口 双气精装修 人车分流,紫韵景园   ,3室1厅,88.69平米,南,34,未知, 中原万达 ,120,13531
急卖儿童公园 双气南北 两室陇海 五号线地铁,中原新城王府东院   ,2室1厅,84.34平米,南 北,34,未知, 郑州一中 ,115,13636
金水路旁园林小区，人车分流新小区,领创天誉华庭   ,2室1厅,78.18平米,南,27,未知, 五龙口 ,115,14710
百合里精装修 满五年唯一 年轻人选择房源有车位,百合里   ,2室1厅,89.6平米,南,28,未知, 五龙口 ,118,13170
诚心卖 价格可谈 精装修 拎包入住,聚龙花园   ,2室1厅,87.22平米,南,18,未知, 儿童公园 ,110,12612
满五唯一税费少 双地铁 常西湖新区 双气新小区,紫韵丽园   ,3室2厅,89.25平米,东南 南,33,未知, 中原万达 ,105,11765
满五唯一，房子户型格局好，适合居住,九龙城龙腾西城   ,3室2厅,89.97平米,南,34,未知, 五龙口 ,110,12227
冉屯路天誉龙邸精装2+1户型 好楼层采光无遮挡,天誉龙邸南区   ,2室2厅,85.34平米,南 北,32,未知, 五龙口 ,110,12890
地铁口 次新房小区 人车分流 诚心出售,紫韵丽园   ,3室1厅,89.09平米,南,33,未知, 中原万达 ,105,11786
业主诚心出售，看中房子价格可谈！,方圆经纬二期   ,2室1厅,77.32平米,南,33,未知, 王府井 ,109,14098
锦绣城 产权清晰 中间楼层 业主诚心出售 看房效果好,盛润锦绣城西院   ,2室2厅,75.89平米,南,32,未知, 王府井 ,110,14495
全明格局，楼层好，视野开阔，位置好,五建新街坊1号院   ,2室1厅,88.04平米,东南,33,未知, 热电厂 ,100,11359
绿东村3号院精装标准三居，有额外面积不在房本诚售,绿东村3号院   ,3室2厅,79.78平米,南 北,5,未知, 郑州一中 ,110,13788
三环内，18年次新小区，全南户型，环境静美，交通便利,天誉龙邸南区   ,2室2厅,85.34平米,南,32,未知, 五龙口 ,100,11718
《贝壳甄选》地铁口 不临高架 中间层 带车位 有钥匙,和昌澜景   ,3室2厅,88.93平米,南,34,未知, 儿童公园 ,120,13494
次新小区，人车分流，地铁1+5号线，刚需两房,宏江瀚苑   ,2室2厅,86.91平米,东,34,未知, 碧沙岗 ,110,12657
多层电梯洋房，户型方正、公摊小，不临高价，带储藏室,和昌湾景国际   ,2室2厅,71.19平米,东 南,6,未知, 儿童公园 ,118,16576
升龙天汇1号院 主城双气  精装修,升龙天汇1号院   ,3室2厅,87.28平米,南,34,未知, 五龙口 ,100,11458
互助路 两室一厅 总价低首付少 物业号 环境好 采光好,郑州工业贸易学校北家属院   ,2室1厅,74.24平米,南 北,6,未知, 王府井 ,114,15464
升龙天汇3号院  精致小两房，西南户 满五年没贷款,升龙天汇3号院   ,2室1厅,76平米,西南,32,未知, 五龙口 ,105,13816
绿都城 小3室 楼层好 地铁10号线 鸟巢 植物园 西流湖,郑州绿都城   ,3室1厅,89.26平米,南,18,未知, 中原万达 ,110,12324
地铁口 花园社区 多层 公摊小,郑州绿都城   ,3室2厅,89.41平米,南 北,6,未知, 中原万达 ,116,12974
宏江边户南北通透两房 有装修无贷款，业主诚售,宏江瀚苑   ,2室1厅,77.69平米,南 北,34,未知, 碧沙岗 ,100,12872
二环旁新小区 人车分流 看房随时业主急售,升龙天汇1号院   ,3室2厅,88.63平米,南,22,未知, 五龙口 ,118,13314
永威品质 主流方正户型 采光好 看房联系,永威泰和璟苑   ,3室2厅,88.87平米,南,34,未知, 常西湖 ,119,13447
农业路桐柏路  主城区 大两房 精装修 满五年，急卖,升龙天汇1号院   ,3室2厅,87.99平米,南,34,未知, 五龙口 ,112,12729
标准小三房    适合一家三代居住,煤炭设计院家属院南院   ,3室1厅,75.78平米,南 北,7,未知, 郑州晚报社 ,115,15176
满五唯一，装修很好，全屋中 央空调  业主一直自住,盛润锦绣城东院   ,2室1厅,77.09平米,西南,31,未知, 王府井 ,112,14529
升龙天汇七号院，89平毛坯3房满2诚心出售,升龙天汇七号院   ,3室1厅,89.22平米,南,33,未知, 月季公园 ,110,12330
三环内、锦艺旁、精装两室、18年次新小区,金水世纪城   ,2室1厅,81.03平米,南,33,未知, 五龙口 ,106,13082
满五唯一住房 2012年小区 业主诚心出售,九龙城天悦龙庭   ,2室2厅,86.81平米,南 北,24,未知, 五龙口 ,118,13593
三环内、锦艺旁、精装两室、18年次新小区,金水世纪城   ,2室1厅,81.03平米,南,33,未知, 五龙口 ,106,13082
业主急售，装修比较好，楼层好，满五不唯一,盛润锦绣城东院   ,2室1厅,77.09平米,南,31,未知, 王府井 ,105,13621
三环内 精装两室 不临高架 采光好,和昌澜景   ,2室2厅,75.33平米,南 北,20,未知, 儿童公园 ,108,14337
保利心语大两居室  中间楼层 满两年,保利心语一期   ,2室1厅,87.97平米,西北,33,未知, 中原万达 ,105,11936
居家优选 五室六室 三世同堂 看房方便,乾宏领秀   ,6室2厅,86.38平米,南 北,14,未知, 帝湖 ,112,12966
升龙天汇1号院 小三室 人车分流 位置好,升龙天汇1号院   ,3室1厅,87.89平米,南,34,未知, 五龙口 ,112,12744
满五唯一公园两房，地铁口，采光好，看房方便。房主自荐,公园壹号   ,2室2厅,86.16平米,南,33,未知, 儿童公园 ,110,12767
奥体旁，地铁口，永威开发一级物业，精致三房，急卖,永威泰和璟苑   ,3室2厅,88.81平米,南 北,30,未知, 常西湖 ,115,12949
锦绣城 前排标准两房 中高层 采光视野好 装修还可以,盛润锦绣城西院   ,2室2厅,78.02平米,南 北,32,未知, 王府井 ,120,15381
地铁口精装两房 格局方正，视野开阔 配套设施齐全,中原新城王府东院   ,2室1厅,89.11平米,南 北,34,未知, 郑州一中 ,115,12906
三环内万达旁 保利心语小两房 业主诚心出售,保利心语一期   ,2室1厅,76.9平米,南 北,34,未知, 中原万达 ,118,15345
锦艺89平南北 地暖 地铁1号5号线,锦艺国际华都博郡   ,3室1厅,88.14平米,北,34,未知, 热电厂 ,112,12708
龙腾西城，精装三房，全明户型，满五唯一，配套齐全！,九龙城龙腾西城   ,3室2厅,88.55平米,南 北,33,未知, 五龙口 ,115,12988
宏江精装修两室，采光好 视野好，拎包可入住,宏江瀚苑   ,2室1厅,86.79平米,东,34,未知, 碧沙岗 ,118,13597
五一公园 标准两室 07年双气 中间楼层,郑州国棉四厂   ,2室2厅,86.23平米,南,6,未知, 王府井 ,110,12757
三环内，央企保利开发，人车分流，环境优美，物业好,保利百合   ,2室2厅,86.92平米,东南,34,未知, 热电厂 ,106,12196
央企物业 功能间齐全布局合理居住舒适，房东诚意出售,保利心语一期   ,2室2厅,76.9平米,西北,34,未知, 中原万达 ,115,14955
升龙天汇九号院 精装双气小高层 产权清晰急售,升龙天汇9号院   ,3室1厅,89.41平米,南,26,未知, 月季公园 ,119,13377
中原万达旁 保利开发 朝南两居室 中间好楼层 随时看房,保利心语一期   ,2室2厅,82.64平米,南 西,34,未知, 中原万达 ,120,14521
满五年 人车分流 近地铁 业主诚心出售 南北通透小三房,保利百合   ,3室2厅,87.61平米,南 北,34,未知, 热电厂 ,118,13469
2016年的建成年代，双气西户，教育集中区房主自荐,启福尚都   ,2室2厅,78.88平米,南,32,未知, 中原万达 ,118,14960
保利心语，地铁十号线，万达西，公园旁,保利心语一期   ,2室1厅,88.12平米,东,34,未知, 中原万达 ,108,12257
客厅带阳台户型，好位置无遮挡，满五唯一房主自荐,正商金域世家   ,2室1厅,88.67平米,南,34,未知, 五龙口 ,115,12970
金水路次新洋房社区 全明户型  低楼层无遮挡采光好,正商金域世家   ,3室1厅,89.6平米,南,34,未知, 五龙口 ,108,12054
房子诚心出售，低楼层，环境优美，前面无遮挡，全款，,新禧园   ,2室2厅,89.81平米,西南,18,未知, 热电厂 ,118,13139
三环内人车分流小区西南边户，采光好装修好,九龙城龙腾西城   ,2室2厅,82.44平米,南,34,未知, 五龙口 ,110,13344
中原路，市政府旁。95年的房子，可商贷.,中原西路215号院   ,2室1厅,77.44平米,南,8,未知, 郑州晚报社 ,118,15238
两室精装 楼栋位置好，看房效果好,盛润锦绣城西院   ,2室1厅,75.89平米,南,32,未知, 王府井 ,100,13177
精装修 环境好 南北通透边户两房,领创天誉华庭   ,2室2厅,78.63平米,南 北,27,未知, 五龙口 ,115,14626
伊河路、19、满五唯一、南北通透、双气两房、中间楼层,林山寨村   ,2室1厅,81.44平米,南 北,7,未知, 郑州晚报社 ,115,14121
精装修 环境好 南北通透边户两房,领创天誉华庭   ,2室2厅,78.63平米,南 北,27,未知, 五龙口 ,115,14626
临西流湖公园，万达商圈，通透的三房,郑州绿都城   ,3室2厅,89.28平米,东,6,未知, 中原万达 ,105,11761
升龙天汇七号院  我嘞个乖乖 这房子可带劲啊,升龙天汇七号院   ,3室2厅,87.53平米,南,34,未知, 月季公园 ,113,13013
双地铁口，次新房，精装修，人车分流，环境好，中间层,紫韵丽园   ,3室2厅,89.25平米,南,33,未知, 中原万达 ,108,12101
奥体旁 标准大三房 户型方正  中间楼层,汇泉城5号院   ,3室2厅,88.4平米,南,34,未知, 常西湖 ,119,13519
锦艺三期，中高楼层，视野开阔，采光刺眼，精装修,锦艺国际华都（三期）月星家居广场   ,3室1厅,83.59平米,南,26,未知, 热电厂 ,113,13519
满五唯一，精装修，精品两房，业主诚心出售,百合里   ,2室1厅,88.98平米,南,28,未知, 五龙口 ,100,11239
房子通透户型，新社区环境好，人车分流适合居住。房主自荐,汇泉城5号院   ,3室2厅,88.97平米,南,34,未知, 常西湖 ,105,11802
此房不唯一，有个税，单机低，伊河路,中原新城学府小区   ,1室1厅,73.33平米,西,30,未知, 郑州晚报社 ,116,15819
万达商圈 精装修 朝南大两房 素质小区,昆仑华府   ,2室1厅,89.03平米,西南,18,未知, 中原万达 ,115,12917
锦艺旁洋房社区，精装修，拎包入住,正商金域世家   ,2室2厅,88平米,南,34,未知, 五龙口 ,115,13069
《贝壳优选》三环内 地铁口 不临高架 品质精装 采光好,和昌湾景国际   ,3室2厅,87.92平米,南,34,未知, 儿童公园 ,120,13649
华瑞紫韵城丽园 双地铁 人车分流 绿化好 精装修,紫韵丽园   ,3室2厅,88.36平米,南 北,33,未知, 中原万达 ,105,11884
满五唯一，全明户型，次新小区，交通便利,和昌湾景国际   ,2室2厅,81.58平米,南,34,未知, 儿童公园 ,115,14097
此房满五年，洋房，一梯两户，中间楼层，精装修，,正商明钻二期   ,2室1厅,89.06平米,南 北,6,未知, 五龙口 ,110,12352
互助路 单位家属院 多层双气 可公积金贷款,互助路18号院   ,2室2厅,71.51平米,南,6,未知, 王府井 ,115,16082
锦艺城   三室  棉纺路   双气   中间楼层,锦艺国际华都（三期）月星家居广场   ,3室1厅,83.59平米,南,26,未知, 热电厂 ,100,11964
